"provider_id",provider,"last_seen"
"ANA - Aeroportos de Portugal. SA (AP)","ANA - Aeroportos de Portugal. SA (AP)","2018-07"
"BRAGAPARQUES (BP)","BragaParques (BP)","2018-07"
"I. de Portugal (B1)","I. de Portugal (B1)","2018-07"
"I. de Portugal (L1)","I. de Portugal (L1)","2018-07"
"I. de Portugal (P2)","I. de Portugal (P2)","2018-07"
"AUTOESTRADAS DO ATLÂNTICO (AA)","AUTOESTRADAS DO ATLÂNTICO (AA)","2018-12"
"Brisa Concessão Rodoviária (BR)","Brisa Concessão Rodoviária (BR)","2018-12"
"CENTRO COLOMBO (CC)","CENTRO COLOMBO (CC)","2018-12"
"CENTRO VASCO DA GAMA (VG)","Centro Vasco da Gama (VG)","2018-12"
"I. de Portugal (IF)","I. de Portugal (IF)","2018-12"
"LUSOPONTE (LS)","LUSOPONTE (LS)","2018-12"
"SIENT (ST)","SIENT (ST)","2018-12"
B2,"REVIEW-I. de Portugal (B2)","2019-01"
CC,"CENTRO COLOMBO (CC)","2019-01"
CH,"REVIEW-Chiado (CH)","2019-01"
CI,"REVIEW-El Corte Ingles (CI)","2019-01"
ES,"REVIEW-Empark (ES)","2019-01"
PT,"REVIEW-PT","2019-01"
ST,"SIENT (ST)","2019-01"
AA,"AUTOESTRADAS DO ATLÂNTICO (AA)","2019-02"
BR,"Brisa Concessão Rodoviária (BR)","2019-02"
E1,"REVIEW-I. de Portugal (E1)","2019-02"
IF,"I. de Portugal (IF)","2019-02"
LS,"LUSOPONTE (LS)","2019-02"
